DATE,DESCRIPTION,CATEGORY,INCOME,EXPENSE,ACCOUNT,BALANCE
2024-09-01,Dunbar Family Trust - invoice 1005,Service revenue,2964.29,,Business transaction,120964.29
2024-09-01,Northshore Dental - invoice 1015,Service revenue,1526.3,,Business transaction,122490.59
2024-09-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,116290.59
2024-09-02,Reece Plumbing,Materials,,6861.62,Business transaction,109428.97
2024-09-03,Ryde Council - invoice 1012,Service revenue,2070.12,,Business transaction,111499.09
2024-09-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,109649.09
2024-09-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,109169.09
2024-09-06,Middy's Electrical,Materials,,3697.75,Business transaction,105471.34
2024-09-06,Ampol fleet fuel,Vehicle & fuel,,840.94,Business transaction,104630.4
2024-09-08,Kings Cross Hotel - invoice 1017,Installation revenue,9644.08,,Business transaction,114274.48
2024-09-08,Google Ads,Marketing,,1486.61,Business transaction,112787.87
2024-09-09,Kings Cross Hotel - invoice 1010,Installation revenue,4768.79,,Business transaction,117556.66
2024-09-09,Parramatta Bakehouse - invoice 1021,Service revenue,3373.8,,Business transaction,120930.46
2024-09-09,Harbourview Apartments - invoice 1023,Service revenue,2823.56,,Business transaction,123754.02
2024-09-10,St Leonards Physio - invoice 1020,Service revenue,2922.85,,Business transaction,126676.87
2024-09-10,Bunnings Trade,Materials,,5812.84,Business transaction,120864.03
2024-09-10,Vehicle servicing,Vehicle & fuel,,1450,Business transaction,119414.03
2024-09-12,Electricity & water,Utilities,,684.43,Business transaction,118729.6
2024-09-13,Wattle St body corporate - invoice 1008,Installation revenue,5507.8,,Business transaction,124237.4
2024-09-13,Chatswood Childcare - monthly retainer,Maintenance contracts,4480.82,,Business transaction,128718.22
2024-09-14,Marrickville Brewery - invoice 1004,Installation revenue,3386.45,,Business transaction,132104.67
2024-09-14,Tradelink,Materials,,5774.05,Business transaction,126330.62
2024-09-14,Payroll fortnight A,Payroll,,15800,Business transaction,110530.62
2024-09-15,Ryde Council - invoice 1003,Service revenue,1784.13,,Business transaction,112314.75
2024-09-15,Dunbar Family Trust - monthly retainer,Maintenance contracts,4480.82,,Business transaction,116795.57
2024-09-15,Subcontractor - refrigeration,Subcontractors,,4334.52,Business transaction,112461.05
2024-09-15,Ampol fleet fuel,Vehicle & fuel,,794.5,Business transaction,111666.55
2024-09-16,Chatswood Childcare - monthly retainer,Maintenance contracts,4480.82,,Business transaction,116147.37
2024-09-17,Dunbar Family Trust - invoice 1009,Service revenue,2857.57,,Business transaction,119004.94
2024-09-17,Office supplies & phone,Office & admin,,557.38,Business transaction,118447.56
2024-09-18,Marrickville Brewery - invoice 1001,Installation revenue,5197.05,,Business transaction,123644.61
2024-09-18,Lawrence & Hanson,Materials,,3876.14,Business transaction,119768.47
2024-09-19,Harbourview Apartments - invoice 1000,Service revenue,3741.39,,Business transaction,123509.86
2024-09-22,St Leonards Physio - invoice 1006,Service revenue,1749.58,,Business transaction,125259.44
2024-09-22,Actrol HVAC,Materials,,4631.63,Business transaction,120627.81
2024-09-22,Bookkeeper,Professional fees,,900,Business transaction,119727.81
2024-09-23,Chatswood Childcare - invoice 1024,Installation revenue,5466.42,,Business transaction,125194.23
2024-09-24,Parramatta Bakehouse - invoice 1007,Service revenue,1711.69,,Business transaction,126905.92
2024-09-24,Harbourview Apartments - invoice 1018,Service revenue,2749.18,,Business transaction,129655.1
2024-09-24,Harbourview Apartments - invoice 1025,Service revenue,2614.98,,Business transaction,132270.08
2024-09-24,Ampol fleet fuel,Vehicle & fuel,,946.41,Business transaction,131323.67
2024-09-25,Kings Cross Hotel - invoice 1002,Service revenue,1941.46,,Business transaction,133265.13
2024-09-26,Wattle St body corporate - invoice 1013,Installation revenue,8019.03,,Business transaction,141284.16
2024-09-26,Wattle St body corporate - invoice 1016,Service revenue,3022.83,,Business transaction,144306.99
2024-09-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,142986.99
2024-09-28,Marrickville Brewery - invoice 1022,Installation revenue,8032.31,,Business transaction,151019.3
2024-09-28,Payroll fortnight B,Payroll,,15800,Business transaction,135219.3
2024-09-30,Owner drawings,Owner drawings,,7000,Business transaction,128219.3
2024-10-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,122019.3
2024-10-02,St Leonards Physio - invoice 1053,Service revenue,2071.99,,Business transaction,124091.29
2024-10-02,Wattle St body corporate - invoice 1060,Installation revenue,8122.4,,Business transaction,132213.69
2024-10-02,Reece Plumbing,Materials,,4632.48,Business transaction,127581.21
2024-10-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,125731.21
2024-10-04,Marrickville Brewery - invoice 1040,Installation revenue,5832.06,,Business transaction,131563.27
2024-10-05,Harbourview Apartments - invoice 1046,Installation revenue,9722.19,,Business transaction,141285.46
2024-10-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,140805.46
2024-10-06,Wattle St body corporate - invoice 1043,Installation revenue,6461,,Business transaction,147266.46
2024-10-06,Northshore Dental - invoice 1058,Installation revenue,8540.22,,Business transaction,155806.68
2024-10-06,Middy's Electrical,Materials,,6302.44,Business transaction,149504.24
2024-10-06,Ampol fleet fuel,Vehicle & fuel,,774.57,Business transaction,148729.67
2024-10-07,Chatswood Childcare - invoice 1045,Service revenue,1245.6,,Business transaction,149975.27
2024-10-08,Google Ads,Marketing,,1593.02,Business transaction,148382.25
2024-10-09,Dunbar Family Trust - invoice 1044,Installation revenue,7892.17,,Business transaction,156274.42
2024-10-09,Ryde Council - invoice 1051,Service revenue,2028.41,,Business transaction,158302.83
2024-10-10,Parramatta Bakehouse - monthly retainer,Maintenance contracts,4354.17,,Business transaction,162657
2024-10-10,Bunnings Trade,Materials,,5538.46,Business transaction,157118.54
2024-10-10,Vehicle servicing,Vehicle & fuel,,260,Business transaction,156858.54
2024-10-11,Kings Cross Hotel - invoice 1054,Service revenue,2558.9,,Business transaction,159417.44
2024-10-12,Parramatta Bakehouse - invoice 1047,Installation revenue,5176.04,,Business transaction,164593.48
2024-10-12,Northshore Dental - invoice 1048,Service revenue,3152.82,,Business transaction,167746.3
2024-10-12,Electricity & water,Utilities,,657.2,Business transaction,167089.1
2024-10-13,Harbourview Apartments - monthly retainer,Maintenance contracts,4354.17,,Business transaction,171443.27
2024-10-14,Marrickville Brewery - invoice 1059,Installation revenue,9695.59,,Business transaction,181138.86
2024-10-14,Tradelink,Materials,,4254.51,Business transaction,176884.35
2024-10-14,Payroll fortnight A,Payroll,,15863.2,Business transaction,161021.15
2024-10-15,Marrickville Brewery - invoice 1056,Service revenue,3679.65,,Business transaction,164700.8
2024-10-15,Subcontractor - refrigeration,Subcontractors,,4737.33,Business transaction,159963.47
2024-10-15,Ampol fleet fuel,Vehicle & fuel,,851.67,Business transaction,159111.8
2024-10-17,Dunbar Family Trust - invoice 1050,Installation revenue,6834.06,,Business transaction,165945.86
2024-10-17,Northshore Dental - invoice 1063,Installation revenue,8836.55,,Business transaction,174782.41
2024-10-17,Office supplies & phone,Office & admin,,397.1,Business transaction,174385.31
2024-10-18,Lawrence & Hanson,Materials,,6531.38,Business transaction,167853.93
2024-10-19,Kings Cross Hotel - invoice 1061,Service revenue,2631.49,,Business transaction,170485.42
2024-10-20,Northshore Dental - invoice 1052,Service revenue,1652.57,,Business transaction,172137.99
2024-10-21,Ryde Council - invoice 1041,Service revenue,1188.77,,Business transaction,173326.76
2024-10-22,Actrol HVAC,Materials,,5325.41,Business transaction,168001.35
2024-10-22,Bookkeeper,Professional fees,,900,Business transaction,167101.35
2024-10-23,Parramatta Bakehouse - monthly retainer,Maintenance contracts,4354.17,,Business transaction,171455.52
